feature_set,model_type,test_year,num_matches,accuracy,log_loss,brier_score
serve_only,xgboost,2010,3030,0.524092409240924,0.6853946606163847,0.24616709165459424
serve_only,xgboost,2011,3015,0.5333333333333333,0.6828558107508004,0.24480825276157567
serve_only,xgboost,2012,3009,0.5370555001661682,0.6857756642304865,0.24622932503597542
serve_only,xgboost,2013,27,0.6296296296296297,0.6670465749247491,0.23770907066258087
serve_only,xgboost,2014,2874,0.5452331245650661,0.678388922349689,0.24283924997960066
serve_only,xgboost,2015,2945,0.533106960950764,0.6862025499625335,0.2462876882362308
serve_only,xgboost,2016,2970,0.567003367003367,0.6738733469294187,0.24030757206704234
serve_only,xgboost,2017,2936,0.5589237057220708,0.6772454254658411,0.24225182509265744
serve_only,xgboost,2018,3011,0.5453337761541016,0.6826745271806648,0.24471382542172193
serve_only,xgboost,2019,2721,0.549797868430724,0.6883940223170569,0.24719513295670706
serve_only,xgboost,2020,1466,0.5470668485675307,0.6859437072108742,0.2460753063083557
serve_only,xgboost,2021,2735,0.5034734917733089,0.690918296239102,0.24879057654317366
serve_only,xgboost,2022,2918,0.5390678546949965,0.6812007846297579,0.24392364327590382
serve_only,xgboost,2023,2995,0.5439065108514191,0.6829116188429588,0.24486092195057746
serve_only,xgboost,2024,3159,0.5511237733459956,0.6756238858059866,0.2414687844674152
serve_only,xgboost,2025,2861,0.5407200279622509,0.6810298739419601,0.2439126815732153
